Part List,Module,Quanitity,Buy LInk
Display,1.8 inch TFT,1X,https://www.amazon.in/1-8-INCH-SERIAL-TFT-MODULE/dp/B00YSGARMI/ref=sr_1_8?crid=2Q90SQG76CRDM&dib=eyJ2IjoiMSJ9.LK6lGZxFHk93aT6c4FGV3-sVosXBex3QJq-dIrXbswXgAw8gtUwNt4yWGCoA8AEJQnqz8R0Me4yH2o6OAVRbnwCB_xa2CgHleuUL_mmGTS7zdS5pIcyOZ1Pj0YOIDOY_QBL0opOHuSh_tMUUUoEcl0psZcc4val3gYo2b09vOXulrxRSJFFDnffJhJFNR7ZnoaQsdfKEBBzOTk24P5Tx_84BfQy5zE7GZB9OKpf1oKE.qhDs_CBsvDhUUCXu1enGwGLDLpehs8UKH8KCxyoThAo&dib_tag=se&keywords=TFT+display&qid=1772998820&sprefix=tft+displ%2Caps%2C383&sr=8-8
Mic,INMP441,1X,https://www.amazon.in/GoBagee%C2%AE-INMP441-Omnidirectional-Microphone-Interface/dp/B0F7FT4Z56/ref=sr_1_5?crid=16Y7PPK7LIU6D&dib=eyJ2IjoiMSJ9.21Mx7C6xVul154Vi4l9wPBdo7vPlS8vWSZEE6I9wlAlIZ7t0ivJ-1R-c64-E5iFW0_IWJF2xnlKShdOiILzOs0TIcgxDa93UOg2wJPz4JOk5zUts7RDtI0DTpsI0bBcIP_jjSQTvLkd7qDft4JsG1KMUUnnTuHNk9cS4ER1pJsTgy1q3_HkBV0M0-C6pVy2zFrODLsp0OeOsDq98h7dcgq0vH5Rf_FcZuryaBp80Vz0.mxwdmPFc_s5Cv9yPbDCUMOev2zvh4Z4v9uqERgJpNII&dib_tag=se&keywords=INMP441&qid=1772998890&sprefix=%2Caps%2C408&sr=8-5
Touch,TTP223,1X,https://www.amazon.in/Robodo-Electronics-REDTTP223-Capacitor-Channel/dp/B07B8ZW94K/ref=sr_1_2_sspa?crid=NXS6O6PVZLGW&dib=eyJ2IjoiMSJ9.Ssw4EVA8jWfb89f37D_MC6BPocQD5Vu0Q4wlPP5a2U6nRfA5e7oobEdGk6qM8pKeDKSuGEjpzcKurjPCEyYeBfZq9YkRCJ8aEKSKmuLbNttaYq1DFOvIxLopG0hIWl-6gfIy1kd-SzUsziDsL6gFkqNuf1K8_N-Zen7oBPcF-ST6va3jMAvut-AQU2NoJgyHB7szl8FU9zizLn40rwAWsQE2qO6XNjeKJCbkREe12_-QBEndTQZad60ihJB0xajlUyiuqxzQ0p4zNhQ8l0I0ShFNQcwaR-sizAfno_8qlMM.LoDLJg0YdTMt567bJwCN-wwJpDTBhmcBFMzosg9l5i0&dib_tag=se&keywords=TTP223&qid=1772998923&sprefix=ttp223%2Caps%2C594&sr=8-2-spons&aref=l2nTFFiajF&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Survo Motor,SG90,3X,https://www.amazon.in/ROBODIUM-Operating-6-2x2-5cm-Robotics-Automation/dp/B0G52F1JQV/ref=sr_1_1_sspa?crid=3VXMY6YFRF6KM&dib=eyJ2IjoiMSJ9.FOs2Tu9n3tt6HWTjZ9fqNkia0378Lae5vk2BBl2lqI1dfV5-RFtr8pOtKXxVGJ_h3LIV8U20XgugBjHhTPNufVVCAVXA6vi5qDXL093ugZSltGu6JS4kl9QuAioVciV6WOtOCnbXtLivM9jMiON52AF23l6LsjbmNJ37HDDMUlSZCP_2XqfHilkL-BG1Zwl5EZaY3VZnRItTWesqawBkPRS4DPAvbiN_40AQBwJK1gixDwLvz6BE8qSesFpncmGcB22sYUfiXsaXl11Gz7vEiLT9CG8f0dnrcxwiTAdIyOc.r-AX9g88M_KbI8k45g4WFcGuuNesn86MoGytXOyhfyg&dib_tag=se&keywords=SG90&qid=1772998953&sprefix=ttp223%2Caps%2C416&sr=8-1-spons&aref=xtOE3jBGs6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Battery,3.7V ,2X,https://www.amazon.in/Electronic-Spices-Rechargeable-Battery-Connector/dp/B0DJSGMN3T/ref=sr_1_4?crid=3GVBQJHZZ8CC5&dib=eyJ2IjoiMSJ9.y7x-itAdMeQPTVYi6miP0wM-kYt7_ze7vCpAW9uLojmdFrtU40eX9-fgBTe4mrZFvs7Lj4tl6GtAvIaLYObrdYxMpkMKhAULJQ_50EOKu6DLKvi2G5XtQ_B8vAG54S7lLy9aymMjQ2rERNxrzLPlzSQqHsW2eL9p3KDFZyy8Qpzf-Oksh7p377eOFPEe5SQSPj2O3CFT4cQMCZvwdZFFZBh2yxHUdH-8mbtVuwvNNDk.9oOcTLUHGyFEnwvRjUsjcMcj55Ik5eEFMOqPhTQ6idE&dib_tag=se&keywords=3.7v&qid=1772998979&sprefix=3.7%2Caps%2C407&sr=8-4
Boost Converter,3.7V to 5V,1X,https://www.amazon.in/ROBODUINO-XL6009-Converter-Adjustable-Regulator/dp/B0FF3H9N6W/ref=sr_1_9?crid=X3Q3DHU3BPEE&dib=eyJ2IjoiMSJ9.R0MzVeoKXjvVgdVrKXsqbXTd_rWgUz7zruO2nMKv7_q0G2ld9uXfmfqt1xE2ChlrYmeAsjTc0zUf7pteapsbSQH79-_PzDzqz3603NIZGZLpY92IhOBLtOyx8XsDC9uRjinO69t_E6EqN52xOYCSPq_ponXyHYeXWPf05N5YHiWdDrhHli3oRl9WjhSmDJJkc5zEj7fhJEzvFcGyApS5V41aTDrEbbeDGQx8HOp-aEM.sfEZ86j-HBr94yXp0fwZb5VLQsrLlxFOO9Vljj123bI&dib_tag=se&keywords=3.7v+tp+5v+boost+converter&qid=1772999031&sprefix=3.7v+tp+5v+boost+cxonvert%2Caps%2C371&sr=8-9
ESP-32,Dev kit V1,1X,https://www.amazon.in/RoboThings-ESP32-38Pin-Development-Yellow/dp/B0GDQ51Z5F/ref=sr_1_4_sspa?crid=1UII8X6T8IEWP&dib=eyJ2IjoiMSJ9.U0z54mfl8XfWLVl5OePfCbMIfY0c7Y-gMueOlZz15ojUSch2KFVIJYNLuBhqHLbsfFviraD717SuDczM_K57IrgVj2WH7pFp2Jk9_DqSvjw7wz3ad16r00yrBEnHPbv9ZFhBr4UZphthOcjwwYkNOv9sRehS0pvPY34t4uVIXxvJtaEzeidawdhqKSprVIdekRVFzrYjhJeqlMqLXQ63lJrC2IyUNNtdRUmquASwOIKQovWl4CKJ_wJ7ZWdv3P_ItqDZVol_dcANmA6O28Cpuy0cFV4j_Ks58Mxb431A7lM.nKjw4jkyHxCMEM9tIdwsGLoeQZV0O4I43Wc_-N1Un9k&dib_tag=se&keywords=esp+32+dev+kit+v1&qid=1772999062&sprefix=esp+32+dev+kit+%2Caps%2C385&sr=8-4-spons&aref=2cjKMQmlgS&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
LED,3.7V,5X,https://www.amazon.in/UNIVERSAL-Multicolour-Yellow-Pieces-3v-3-2v/dp/B09RQRP81V/ref=sr_1_3?crid=3BAJDGSS48HNV&dib=eyJ2IjoiMSJ9.3Tx8HeYNaTYaKpBP4Wko-ICfHfcLXI-8DPfpZ2U2N1s0OMiwzOkVxSkf-A3-ZDCWfkRgGdq8IqKp2ekNC83XrFvA7U5nWnp48ra_pUwasG7ZhTg4H8cOa_P5ijsm3DIjIICApMvwsvgziWL2JDuvOlCsgL1uYAWgG8O9R-Z47hN-o22to0Q3V1hgMNgdnD1JNzEEMaRQXk5y1fn27-dSgGHmKX9TIYD7QvMcv4bAHsE.QCqEQh2y0ovoxPL1Q6FOB-2LaAUCc7VJuLBJRFvn2aE&dib_tag=se&keywords=led&qid=1772999088&sprefix=esp%2B32%2Bdev%2Bkit%2Bv1%2Caps%2C418&sr=8-3&th=1
Rezistor,100 Ω,3X,https://www.amazon.in/100-Ohm-Watt-Resistor-Tolerance/dp/B0D574TQ35/ref=sr_1_9?crid=29AJRR91DCU1Z&dib=eyJ2IjoiMSJ9.AjCWAg4KeeZYdRfoyUTZvvnpO6LjyHZe3W71P9DFefLN594UrrKjmmfsskgotdainuf7D8dyiNeFFyktw42QMYqpz2WxfIgjLKSROIaRtbOHg1T0lQjuwb-P9ZEL2dvysvjsTzSOT1LDpjyo1U6tWhb8QYWsOKW468HnhDljOJTjUjr4AZhPDdQ4_BCkRRiP0BIfXgBsek_FIbFlvAWisRZdo-pA4qfzHT4HhFvfHoAjqUocsUYW6_s2DG4HqRXq4QJLoW9FPzygZceGVCPfU97qjNo93Ri6QvwMm2N7HjA.eNLFgYzERu1MamuN2Gke1JVR4-uc5oYn4VPxj923IvE&dib_tag=se&keywords=resistor+100+ohm&qid=1772999107&sprefix=resitor+100+o%2Caps%2C381&sr=8-9
Amplifier,MAX98357A,1X,https://www.amazon.in/TECHTONICS-MAX98357-Amplifier-Interface-Filterless/dp/B0CTKKS25Y/ref=sr_1_1?crid=3O53BPDSHXVI3&dib=eyJ2IjoiMSJ9.UOZcdSJLBfh46E7oL2WNy3akuNxaX4rpeud7TXGNNvozoUT1X3NhyCeCuHRdOID7miHuurJdQR3Ae4qSrNqeEcgz5IlkxHHtWkbWojnTwmrmj8ccMrnYIt0i_yy6QJOsO3GT7P0ZydrdtPXrzo58reQ8v9NAgmrsqPpbTFhsFcJfsH0IOrZLZKWlhfuaKMH0ahnGu-EVKuPHcNI9pid5q-EPtBV_W6Sry2y_BYON6q0.gerGaJmrPhV7r1kvz2735s-yWn-WKwy8vBZi-o0SaRY&dib_tag=se&keywords=MAX98357A&qid=1772999160&sprefix=max98357a%2Caps%2C395&sr=8-1
Speaker,4Ω 3W,1x,https://www.amazon.in/Electron-Speaker-Stereo-Loudspeaker-Arduino/dp/B0CWPM9Q1Z/ref=sr_1_2?crid=2S17SNMEMFT40&dib=eyJ2IjoiMSJ9.A-aTpFi6Fv0ypxVlKtipwHS5OUtDf_NOvjOK84yPQP-oEHvJftlS_qF12fBg2eWXVMGx8ZJqywkE_96uvyKSqI2EaCHecOSM3_8kA_fa3cAHL9ifiq9tvgWeLD19zH2kG-axXao8F88ul3cIzsC4hos5A-fZvcfKOvlF7OYXQikLqighn1wAteRziX0wlqJdVU-n7vbwNJmPKBPJiuhuyCgf7-g-yJfiuIzVcrm-5t0.hKpyh6tOC0wAgKIrge4y0P2PzwNwXsDUEGVbWpF3jQM&dib_tag=se&keywords=4ohm+3+W+speaker&qid=1772999197&sprefix=4ohm+3w+spea%2Caps%2C406&sr=8-2
